data,fold,depth,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse,nof_infeasibilities,training_duration
scores,0,3,5,10,lagrangian,lagrangian,mse,2002.39420439756,0,993.324285507202
scores,0,3,5,10,lagrangian,medoid,mse,634.606666666667,0,1053.65732312202
scores,0,3,5,10,lagrangian,optimal,mse,551.134960816421,0,1015.80187988281
scores,0,3,5,10,mean,medoid,mse,621.593333333333,0,65.3554589748383
scores,0,3,5,10,mean,optimal,mse,564.201518577528,0,61.2879071235657
scores,0,3,5,10,medoid,medoid,mse,594.033333333333,0,280.137184143066
scores,0,3,5,10,medoid,optimal,mse,552.782989321061,0,268.055490255356
scores,0,3,5,10,optimal,medoid,mse,621.593333333333,0,955.785277843475
scores,0,3,5,10,optimal,optimal,mse,564.201518577528,0,900.835240125656
scores,0,3,5,10,sklearn,sklearn,sklearn,564.201518577528,0,0.003977537155151
scores,0,6,5,10,lagrangian,lagrangian,mse,2004.9428209141,0,1222.86746811867
scores,0,6,5,10,lagrangian,medoid,mse,607.326666666667,0,1265.74447154999
scores,0,6,5,10,lagrangian,optimal,mse,545.917967867846,0,1208.73803949356
scores,0,6,5,10,mean,medoid,mse,600.63,0,2.73450660705566
scores,0,6,5,10,mean,optimal,mse,538.10589745837,0,2.89592576026917
scores,0,6,5,10,medoid,medoid,mse,624.01,0,80.9296677112579
scores,0,6,5,10,medoid,optimal,mse,536.719550376932,0,85.7424762248993
scores,0,6,5,10,optimal,medoid,mse,600.63,0,1116.01593947411
scores,0,6,5,10,optimal,optimal,mse,538.10589745837,0,1090.53615427017
scores,0,6,5,10,sklearn,sklearn,sklearn,549.784032370128,13,0.002326250076294
scores,0,9,5,10,lagrangian,lagrangian,mse,1996.51887727647,0,1298.14045858383
scores,0,9,5,10,lagrangian,medoid,mse,599.155,0,1331.51194405556
scores,0,9,5,10,lagrangian,optimal,mse,535.084423802825,0,1283.39638948441
scores,0,9,5,10,mean,medoid,mse,577.373333333333,0,3.38666462898254
scores,0,9,5,10,mean,optimal,mse,523.436802291412,0,3.36174821853638
scores,0,9,5,10,medoid,medoid,mse,639.19,0,141.124941825867
scores,0,9,5,10,medoid,optimal,mse,547.256227971655,0,116.109272956848
scores,0,9,5,10,optimal,medoid,mse,577.373333333333,0,1125.43588399887
scores,0,9,5,10,optimal,optimal,mse,523.436802291412,0,1122.87373209
scores,0,9,5,10,sklearn,sklearn,sklearn,547.125431204775,25,0.002396583557129
scores,0,12,5,10,lagrangian,lagrangian,mse,1996.9128272822,0,1303.65231800079
scores,0,12,5,10,lagrangian,medoid,mse,597.903333333333,0,1336.25066971779
scores,0,12,5,10,lagrangian,optimal,mse,536.351880858343,0,1278.19794940948
scores,0,12,5,10,mean,medoid,mse,577.016666666667,0,3.16382336616516
scores,0,12,5,10,mean,optimal,mse,531.691863289948,0,3.40862822532654
scores,0,12,5,10,medoid,medoid,mse,635.386666666667,0,71.2006809711456
scores,0,12,5,10,medoid,optimal,mse,545.007216103496,0,78.0600135326386
scores,0,12,5,10,optimal,medoid,mse,577.016666666667,0,1043.6862449646
scores,0,12,5,10,optimal,optimal,mse,531.691863289948,0,1022.49687099457
scores,0,12,5,10,sklearn,sklearn,sklearn,551.84807094231,25,0.002016067504883
scores,0,15,5,10,lagrangian,lagrangian,mse,1996.9128272822,0,1371.30512499809
scores,0,15,5,10,lagrangian,medoid,mse,597.903333333333,0,1345.69920611382
scores,0,15,5,10,lagrangian,optimal,mse,536.351880858343,0,1302.46872568131
scores,0,15,5,10,mean,medoid,mse,577.016666666667,0,2.85870003700256
scores,0,15,5,10,mean,optimal,mse,531.691863289948,0,3.07161712646484
scores,0,15,5,10,medoid,medoid,mse,635.386666666667,0,74.2865700721741
scores,0,15,5,10,medoid,optimal,mse,545.007216103496,0,75.7801747322083
scores,0,15,5,10,optimal,medoid,mse,577.016666666667,0,1007.0711555481
scores,0,15,5,10,optimal,optimal,mse,531.691863289948,0,1003.23329997063
scores,0,15,5,10,sklearn,sklearn,sklearn,551.84807094231,25,0.001926183700562
scores,1,3,5,10,lagrangian,lagrangian,mse,1965.77450320087,0,997.224621534348
scores,1,3,5,10,lagrangian,medoid,mse,462.13,0,1010.99515604973
scores,1,3,5,10,lagrangian,optimal,mse,442.827037649577,0,979.687959671021
scores,1,3,5,10,mean,medoid,mse,453.28,0,63.335088968277
scores,1,3,5,10,mean,optimal,mse,456.148455788693,0,60.2228858470917
scores,1,3,5,10,medoid,medoid,mse,452.42,0,269.82551908493
scores,1,3,5,10,medoid,optimal,mse,458.476401636001,0,266.342721223831
scores,1,3,5,10,optimal,medoid,mse,449.703333333333,0,887.991222143173
scores,1,3,5,10,optimal,optimal,mse,454.828312808816,0,896.844757556915
scores,1,3,5,10,sklearn,sklearn,sklearn,458.001672975075,17,0.00740385055542
scores,1,6,5,10,lagrangian,lagrangian,mse,1973.09201682345,0,1238.45087909698
scores,1,6,5,10,lagrangian,medoid,mse,463.396666666667,0,1245.69981503487
scores,1,6,5,10,lagrangian,optimal,mse,430.1601630815,0,1216.01131105423
scores,1,6,5,10,mean,medoid,mse,463.531666666667,0,2.68410754203796
scores,1,6,5,10,mean,optimal,mse,425.688677996728,0,3.05293917655945
scores,1,6,5,10,medoid,medoid,mse,483.463333333333,0,71.1277561187744
scores,1,6,5,10,medoid,optimal,mse,463.708128771628,0,67.8742308616638
scores,1,6,5,10,optimal,medoid,mse,448.113333333333,0,1103.88881325722
scores,1,6,5,10,optimal,optimal,mse,431.946549708636,0,989.01100063324
scores,1,6,5,10,sklearn,sklearn,sklearn,448.029493869861,15,0.00238823890686
scores,1,9,5,10,lagrangian,lagrangian,mse,1977.59832170808,0,1243.07707858086
scores,1,9,5,10,lagrangian,medoid,mse,500.551666666667,0,1249.1632938385
scores,1,9,5,10,lagrangian,optimal,mse,440.863156929674,0,1215.48637247086
scores,1,9,5,10,mean,medoid,mse,517.936666666667,0,3.89722323417664
scores,1,9,5,10,mean,optimal,mse,450.642297329095,0,3.95946669578552
scores,1,9,5,10,medoid,medoid,mse,504.418333333333,0,98.8516297340393
scores,1,9,5,10,medoid,optimal,mse,473.967464457866,0,91.7992029190064
scores,1,9,5,10,optimal,medoid,mse,490.473333333333,0,1117.00624370575
scores,1,9,5,10,optimal,optimal,mse,443.706016954845,0,1237.31352257729
scores,1,9,5,10,sklearn,sklearn,sklearn,476.412564015281,20,0.002453327178955
scores,1,12,5,10,lagrangian,lagrangian,mse,1978.66993215532,0,1287.45130205154
scores,1,12,5,10,lagrangian,medoid,mse,494.011666666667,0,1308.37043452263
scores,1,12,5,10,lagrangian,optimal,mse,442.205635883484,0,1229.14107322693
scores,1,12,5,10,mean,medoid,mse,511.131666666667,0,3.1202552318573
scores,1,12,5,10,mean,optimal,mse,451.730388613524,0,3.35743284225464
scores,1,12,5,10,medoid,medoid,mse,536.665,0,72.9209930896759
scores,1,12,5,10,medoid,optimal,mse,477.959864765943,0,74.3688321113586
scores,1,12,5,10,optimal,medoid,mse,487.806666666667,0,1005.97420120239
scores,1,12,5,10,optimal,optimal,mse,446.598440153966,0,1016.15584564209
scores,1,12,5,10,sklearn,sklearn,sklearn,499.73663689008,20,0.002166748046875
scores,1,15,5,10,lagrangian,lagrangian,mse,1978.66993215532,0,1205.66830158234
scores,1,15,5,10,lagrangian,medoid,mse,494.011666666667,0,1253.84051513672
scores,1,15,5,10,lagrangian,optimal,mse,442.205635883484,0,1249.03706407547
scores,1,15,5,10,mean,medoid,mse,511.131666666667,0,2.77408409118652
scores,1,15,5,10,mean,optimal,mse,451.730388613524,0,2.95824241638184
scores,1,15,5,10,medoid,medoid,mse,536.665,0,73.4966330528259
scores,1,15,5,10,medoid,optimal,mse,477.959864765943,0,72.1942629814148
scores,1,15,5,10,optimal,medoid,mse,487.806666666667,0,999.606065988541
scores,1,15,5,10,optimal,optimal,mse,446.598440153966,0,981.96102309227
scores,1,15,5,10,sklearn,sklearn,sklearn,499.73663689008,20,0.001932382583618
scores,2,3,5,10,lagrangian,lagrangian,mse,1988.1482290768,0,1000.16819381714
scores,2,3,5,10,lagrangian,medoid,mse,477.97,0,1004.35194706917
scores,2,3,5,10,lagrangian,optimal,mse,420.760301635376,0,974.312908411026
scores,2,3,5,10,mean,medoid,mse,486.348333333333,0,63.7306571006775
scores,2,3,5,10,mean,optimal,mse,463.620445179075,0,65.5108852386475
scores,2,3,5,10,medoid,medoid,mse,472.051666666667,0,256.660817861557
scores,2,3,5,10,medoid,optimal,mse,452.972054554572,0,253.355154514313
scores,2,3,5,10,optimal,medoid,mse,486.348333333333,0,900.628183364868
scores,2,3,5,10,optimal,optimal,mse,463.620445179075,0,858.054888963699
scores,2,3,5,10,sklearn,sklearn,sklearn,452.972054554572,0,0.026476383209229
scores,2,6,5,10,lagrangian,lagrangian,mse,1991.49797055026,0,1199.07880544662
scores,2,6,5,10,lagrangian,medoid,mse,472.56,0,1241.20997643471
scores,2,6,5,10,lagrangian,optimal,mse,431.598444225615,0,1177.93535137177
scores,2,6,5,10,mean,medoid,mse,479.31,0,2.78859329223633
scores,2,6,5,10,mean,optimal,mse,454.518134342918,0,2.97217416763306
scores,2,6,5,10,medoid,medoid,mse,473.513333333333,0,74.142377614975
scores,2,6,5,10,medoid,optimal,mse,432.79131853677,0,74.3881802558899
scores,2,6,5,10,optimal,medoid,mse,479.31,0,1107.06555652618
scores,2,6,5,10,optimal,optimal,mse,454.518134342918,0,1012.78487920761
scores,2,6,5,10,sklearn,sklearn,sklearn,450.358982932081,21,0.002245426177979
scores,2,9,5,10,lagrangian,lagrangian,mse,1995.95542491613,0,1274.74858760834
scores,2,9,5,10,lagrangian,medoid,mse,496.746666666667,0,1290.23968577385
scores,2,9,5,10,lagrangian,optimal,mse,439.937572953287,0,1241.58071112633
scores,2,9,5,10,mean,medoid,mse,502.095,0,2.99814534187317
scores,2,9,5,10,mean,optimal,mse,446.343419989724,0,3.19641804695129
scores,2,9,5,10,medoid,medoid,mse,506.373333333333,0,77.3548319339752
scores,2,9,5,10,medoid,optimal,mse,442.299785756617,0,80.3349132537842
scores,2,9,5,10,optimal,medoid,mse,501.573333333333,0,1037.80652928352
scores,2,9,5,10,optimal,optimal,mse,445.050088115396,0,1139.42039990425
scores,2,9,5,10,sklearn,sklearn,sklearn,447.771525115226,23,0.002160549163818
scores,2,12,5,10,lagrangian,lagrangian,mse,1997.63256934334,0,1261.40039110184
scores,2,12,5,10,lagrangian,medoid,mse,502.493333333333,0,1299.25218200684
scores,2,12,5,10,lagrangian,optimal,mse,445.862527909404,0,1292.69060230255
scores,2,12,5,10,mean,medoid,mse,504.943333333333,0,3.3376886844635
scores,2,12,5,10,mean,optimal,mse,448.889942131992,0,3.59000706672668
scores,2,12,5,10,medoid,medoid,mse,507.168333333333,0,74.1692576408386
scores,2,12,5,10,medoid,optimal,mse,446.920627696017,0,70.409422159195
scores,2,12,5,10,optimal,medoid,mse,503.696666666667,0,1010.19469618797
scores,2,12,5,10,optimal,optimal,mse,447.238698718504,0,1006.89090466499
scores,2,12,5,10,sklearn,sklearn,sklearn,455.065675650546,27,0.002355575561523
scores,2,15,5,10,lagrangian,lagrangian,mse,1997.63256934334,0,1269.18573975563
scores,2,15,5,10,lagrangian,medoid,mse,502.493333333333,0,1285.61268019676
scores,2,15,5,10,lagrangian,optimal,mse,445.862527909404,0,1199.81799817085
scores,2,15,5,10,mean,medoid,mse,504.943333333333,0,2.96351861953735
scores,2,15,5,10,mean,optimal,mse,448.889942131992,0,3.30542516708374
scores,2,15,5,10,medoid,medoid,mse,507.168333333333,0,75.0614511966705
scores,2,15,5,10,medoid,optimal,mse,446.920627696017,0,74.2241606712341
scores,2,15,5,10,optimal,medoid,mse,503.696666666667,0,988.813176393509
scores,2,15,5,10,optimal,optimal,mse,447.238698718504,0,984.049633026123
scores,2,15,5,10,sklearn,sklearn,sklearn,455.065675650546,27,0.002088785171509
scores,3,3,5,10,lagrangian,lagrangian,mse,1996.72852850198,0,974.972684144974
scores,3,3,5,10,lagrangian,medoid,mse,613.415,0,1008.75798654556
scores,3,3,5,10,lagrangian,optimal,mse,524.325508762776,0,972.250501871109
scores,3,3,5,10,mean,medoid,mse,566.676666666667,0,67.3366713523865
scores,3,3,5,10,mean,optimal,mse,507.106240275323,0,64.5578255653381
scores,3,3,5,10,medoid,medoid,mse,574.188333333333,0,291.972133874893
scores,3,3,5,10,medoid,optimal,mse,533.013775267481,0,301.876235961914
scores,3,3,5,10,optimal,medoid,mse,566.676666666667,0,864.039865970612
scores,3,3,5,10,optimal,optimal,mse,507.106240275323,0,852.418683290482
scores,3,3,5,10,sklearn,sklearn,sklearn,501.779598309993,0,0.008835315704346
scores,3,6,5,10,lagrangian,lagrangian,mse,2008.08188358222,0,1184.21010065079
scores,3,6,5,10,lagrangian,medoid,mse,674.525,0,1207.83271408081
scores,3,6,5,10,lagrangian,optimal,mse,555.189377536363,0,1174.1632604599
scores,3,6,5,10,mean,medoid,mse,608.205,0,2.66242361068726
scores,3,6,5,10,mean,optimal,mse,550.040057549299,0,2.7870991230011
scores,3,6,5,10,medoid,medoid,mse,582.286666666667,0,76.1586372852325
scores,3,6,5,10,medoid,optimal,mse,545.622820217184,0,77.3300552368164
scores,3,6,5,10,optimal,medoid,mse,608.205,0,1098.84425711632
scores,3,6,5,10,optimal,optimal,mse,550.040057549299,0,1027.62995171547
scores,3,6,5,10,sklearn,sklearn,sklearn,549.296899407818,19,0.002244472503662
scores,3,9,5,10,lagrangian,lagrangian,mse,2016.70266535368,0,1227.67801976204
scores,3,9,5,10,lagrangian,medoid,mse,683.143333333333,0,1229.78036689758
scores,3,9,5,10,lagrangian,optimal,mse,580.707868093184,0,1201.72612023354
scores,3,9,5,10,mean,medoid,mse,628.253333333333,0,3.22765493392944
scores,3,9,5,10,mean,optimal,mse,587.297939178501,0,3.39390563964844
scores,3,9,5,10,medoid,medoid,mse,604.036666666667,0,77.2037627696991
scores,3,9,5,10,medoid,optimal,mse,569.773266844392,0,74.9817090034485
scores,3,9,5,10,optimal,medoid,mse,612.913333333333,0,1058.44504475594
scores,3,9,5,10,optimal,optimal,mse,579.503752729267,0,1161.79175567627
scores,3,9,5,10,sklearn,sklearn,sklearn,589.258458391405,18,0.002400636672974
scores,3,12,5,10,lagrangian,lagrangian,mse,2016.11370959182,0,1220.36758232117
scores,3,12,5,10,lagrangian,medoid,mse,682.486666666667,0,1242.69056415558
scores,3,12,5,10,lagrangian,optimal,mse,578.822768880688,0,1182.36942243576
scores,3,12,5,10,mean,medoid,mse,627.18,0,3.18453764915466
scores,3,12,5,10,mean,optimal,mse,587.745046416791,0,3.41257429122925
scores,3,12,5,10,medoid,medoid,mse,606.765,0,70.3272061347961
scores,3,12,5,10,medoid,optimal,mse,584.387425534072,0,73.6599009037018
scores,3,12,5,10,optimal,medoid,mse,633.94,0,1024.48711204529
scores,3,12,5,10,optimal,optimal,mse,591.463889954206,0,1022.70050740242
scores,3,12,5,10,sklearn,sklearn,sklearn,596.967205931705,18,0.002263784408569
scores,3,15,5,10,lagrangian,lagrangian,mse,2016.11370959182,0,1246.78146314621
scores,3,15,5,10,lagrangian,medoid,mse,682.486666666667,0,1276.17728185654
scores,3,15,5,10,lagrangian,optimal,mse,578.822768880688,0,1225.32626461983
scores,3,15,5,10,mean,medoid,mse,627.18,0,2.97377347946167
scores,3,15,5,10,mean,optimal,mse,587.745046416791,0,3.30439257621765
scores,3,15,5,10,medoid,medoid,mse,606.765,0,72.7691493034363
scores,3,15,5,10,medoid,optimal,mse,584.387425534072,0,71.89448595047
scores,3,15,5,10,optimal,medoid,mse,633.94,0,997.009137153626
scores,3,15,5,10,optimal,optimal,mse,591.463889954206,0,992.500531435013
scores,3,15,5,10,sklearn,sklearn,sklearn,596.967205931705,18,0.002095222473145
scores,4,3,5,10,lagrangian,lagrangian,mse,2068.20977914493,0,999.498211145401
scores,4,3,5,10,lagrangian,medoid,mse,428.966666666667,0,1036.01154017448
scores,4,3,5,10,lagrangian,optimal,mse,439.541564541358,0,983.180808544159
scores,4,3,5,10,mean,medoid,mse,425.963333333333,0,59.5483794212341
scores,4,3,5,10,mean,optimal,mse,438.845371683136,0,64.5133428573608
scores,4,3,5,10,medoid,medoid,mse,411.245,0,254.316001653671
scores,4,3,5,10,medoid,optimal,mse,426.055942215148,0,252.802752256393
scores,4,3,5,10,optimal,medoid,mse,425.963333333333,0,855.737743377686
scores,4,3,5,10,optimal,optimal,mse,438.845371683136,0,842.525549888611
scores,4,3,5,10,sklearn,sklearn,sklearn,438.88435746817,0,0.008164405822754
scores,4,6,5,10,lagrangian,lagrangian,mse,2072.55378746428,0,1212.91302847862
scores,4,6,5,10,lagrangian,medoid,mse,434.123333333333,0,1252.28632760048
scores,4,6,5,10,lagrangian,optimal,mse,433.006270162632,0,1195.3227288723
scores,4,6,5,10,mean,medoid,mse,430.775,0,2.63371109962463
scores,4,6,5,10,mean,optimal,mse,440.692980679264,0,2.72228574752808
scores,4,6,5,10,medoid,medoid,mse,415.513333333333,0,73.7078075408936
scores,4,6,5,10,medoid,optimal,mse,434.443220979221,0,67.1984694004059
scores,4,6,5,10,optimal,medoid,mse,437.986666666667,0,1072.4343996048
scores,4,6,5,10,optimal,optimal,mse,441.43024234782,0,996.788617372513
scores,4,6,5,10,sklearn,sklearn,sklearn,449.82766850397,14,0.002181529998779
scores,4,9,5,10,lagrangian,lagrangian,mse,2068.76507773491,0,1264.66228795052
scores,4,9,5,10,lagrangian,medoid,mse,450.63,0,1285.28055882454
scores,4,9,5,10,lagrangian,optimal,mse,421.377427715334,0,1241.7194583416
scores,4,9,5,10,mean,medoid,mse,460.878333333333,0,2.89324259757996
scores,4,9,5,10,mean,optimal,mse,436.469684365613,0,3.01249814033508
scores,4,9,5,10,medoid,medoid,mse,463.228333333333,0,77.2603867053986
scores,4,9,5,10,medoid,optimal,mse,454.813156404008,0,77.4147584438324
scores,4,9,5,10,optimal,medoid,mse,427.081666666667,0,1025.91715788841
scores,4,9,5,10,optimal,optimal,mse,429.996934373451,0,1129.50147938728
scores,4,9,5,10,sklearn,sklearn,sklearn,458.555322843702,21,0.002189636230469
scores,4,12,5,10,lagrangian,lagrangian,mse,2070.3523985956,0,1263.02696990967
scores,4,12,5,10,lagrangian,medoid,mse,452.621666666667,0,1293.93949985504
scores,4,12,5,10,lagrangian,optimal,mse,424.230467728336,0,1230.63493227959
scores,4,12,5,10,mean,medoid,mse,443.985,0,2.79412174224854
scores,4,12,5,10,mean,optimal,mse,434.420097809316,0,3.06090307235718
scores,4,12,5,10,medoid,medoid,mse,461.746666666667,0,74.2759943008423
scores,4,12,5,10,medoid,optimal,mse,461.610583476227,0,76.3135464191437
scores,4,12,5,10,optimal,medoid,mse,421.785,0,993.490784406662
scores,4,12,5,10,optimal,optimal,mse,432.841662977259,0,987.24057841301
scores,4,12,5,10,sklearn,sklearn,sklearn,453.178784307534,20,0.002547264099121
scores,4,15,5,10,lagrangian,lagrangian,mse,2070.3523985956,0,1282.84737753868
scores,4,15,5,10,lagrangian,medoid,mse,452.621666666667,0,1286.63812971115
scores,4,15,5,10,lagrangian,optimal,mse,424.230467728336,0,1233.64769268036
scores,4,15,5,10,mean,medoid,mse,443.985,0,2.84513998031616
scores,4,15,5,10,mean,optimal,mse,434.420097809316,0,3.07047581672668
scores,4,15,5,10,medoid,medoid,mse,461.746666666667,0,71.8270933628082
scores,4,15,5,10,medoid,optimal,mse,461.610583476227,0,74.4285161495209
scores,4,15,5,10,optimal,medoid,mse,421.785,0,951.401424646378
scores,4,15,5,10,optimal,optimal,mse,432.841662977259,0,964.723588228226
scores,4,15,5,10,sklearn,sklearn,sklearn,453.178784307534,20,0.001952648162842
